userId,train,gt,rec_AMR_visual_max_k5
228,"[33794, 5956, 293, 79132, 68157]","[2329, 111, 586, 1206]","[5952.0, 4995.0, 58559.0, 1266.0, 778.0]"
230,"[420, 296, 266, 589, 1201]","[150, 858, 6, 356]","[3578.0, 480.0, 2167.0, 1193.0, 778.0]"
236,"[608, 420, 356, 266, 150, 318]",[589],"[1573.0, 3578.0, 1339.0, 586.0, 296.0]"
240,"[480, 1954, 2571, 1370, 2011]","[1201, 296]","[4993.0, 608.0, 1214.0, 165.0, 1704.0]"
243,"[6534, 6934, 110102, 122904, 142488, 79132, 64030, 111781, 36519, 1704, 1193, 109487, 5810, 78772, 1214, 88140, 6365, 356, 5995, 139385, 139644]","[160438, 64957, 8985]","[7438.0, 128360.0, 6874.0, 33794.0, 48780.0]"
256,"[6, 1193, 3147, 2028, 527, 318]",[1203],"[1214.0, 150.0, 1954.0, 4995.0, 4226.0]"
284,"[608, 1089, 1252, 1704, 1193, 778, 1201, 68157, 58559]","[7387, 8861, 293]","[111.0, 904.0, 5989.0, 296.0, 5995.0]"
285,"[608, 4995, 1573, 1704, 4776, 266, 1961, 527, 1584, 1200, 1206, 4022, 3578, 1213]","[4223, 165, 858]","[3147.0, 778.0, 50.0, 356.0, 1193.0]"
294,"[1954, 116887, 858, 116797, 1214, 64957]","[2011, 139642, 2571, 58559]","[139644.0, 122914.0, 200818.0, 33794.0, 31364.0]"
296,"[5952, 4993, 4226, 1203, 53972, 4022, 150, 68157]","[1266, 85414, 296]","[4995.0, 318.0, 30707.0, 58559.0, 79132.0]"
301,"[5952, 122882, 1704, 2028, 7438, 3578, 30707, 858]","[1252, 2571, 111]","[296.0, 1089.0, 318.0, 4995.0, 58559.0]"
321,"[169984, 2959, 527, 110102, 2329, 4776, 1961, 48304, 4022, 1214, 5952, 175303, 586, 115149, 480, 356, 1266, 30707, 139644]","[2571, 2410, 139385, 1089, 60040, 231]","[1997.0, 7438.0, 1584.0, 1206.0, 97752.0]"
322,"[4993, 2023, 5418, 2028, 3916, 589, 318]","[1266, 2329]","[1704.0, 8665.0, 608.0, 5952.0, 2167.0]"
345,"[1221, 2028, 7153, 6365, 318]","[6874, 608]","[480.0, 296.0, 4022.0, 6874.0, 2571.0]"
357,"[5952, 356, 5989, 4262, 231, 48780, 912, 56145, 1200, 103249, 50, 6874]","[150, 293, 1961]","[318.0, 296.0, 2571.0, 58559.0, 1997.0]"
359,"[912, 3578, 1252]",[589],"[1193.0, 904.0, 1213.0, 1203.0, 296.0]"
364,"[1193, 912, 1206, 1690, 858, 58559]",[296],"[4993.0, 5995.0, 2571.0, 111.0, 7438.0]"
368,"[1089, 4995, 6979, 34150, 2959, 110102]","[6365, 6934]","[4993.0, 53996.0, 2011.0, 1704.0, 1206.0]"
370,"[356, 293, 1221, 2023, 1704, 1036, 1997, 912, 1213]",[608],"[296.0, 165.0, 589.0, 1193.0, 6.0]"
379,"[5952, 4993, 1221, 1961, 5995, 589, 1200, 7153, 1201, 30707, 1721, 3578, 1213, 318]","[5989, 296]","[1584.0, 778.0, 480.0, 1089.0, 266.0]"
388,"[1221, 296, 160980, 1206, 3578, 1213]","[4995, 2571, 318, 527]","[1704.0, 177593.0, 1645.0, 912.0, 111759.0]"
402,"[33794, 119145, 3147, 7438, 79695, 142488, 3578]","[116797, 5418, 6365]","[1704.0, 4993.0, 79132.0, 111759.0, 1645.0]"
426,"[33794, 94985, 48780, 1036, 2959, 912, 1690, 79132, 105504, 3362, 112552, 4776, 1203, 116797, 68157, 3147, 608, 356, 2167, 4223]","[5418, 1252, 2023, 858, 318, 2329]","[64957.0, 104913.0, 2023.0, 1721.0, 1227.0]"
431,"[4993, 4226, 6534, 527, 1690, 420, 4262, 553, 1206, 318, 5952, 1221, 1997, 2011, 480, 231, 111, 1266, 2167]","[356, 266]","[1573.0, 1584.0, 4022.0, 1704.0, 778.0]"
437,"[1954, 296, 589, 111, 4085]","[608, 356]","[1704.0, 293.0, 1221.0, 1213.0, 778.0]"
440,"[1954, 356, 1221, 5989, 6534, 586, 2571, 778, 527, 1584, 50, 2011]","[33794, 858, 1214, 480]","[231.0, 6863.0, 5418.0, 1721.0, 53996.0]"
445,"[608, 5952, 4226, 5995, 1584, 2329, 2011]","[7153, 1036]","[1089.0, 1704.0, 296.0, 5418.0, 4993.0]"
450,"[480, 5952, 4226, 94405, 6, 296, 115210, 1227, 1266, 50, 97304, 3578, 2011, 79132, 68157, 1214, 4223]","[111759, 1213, 48780, 2571]","[231.0, 293.0, 165.0, 69526.0, 85414.0]"
460,"[87520, 6754, 293, 5254, 85414, 36519, 119145, 91630, 527, 162606, 56145, 134130, 8985, 8861]","[3578, 42738, 96691, 122904]","[111759.0, 111364.0, 93363.0, 1645.0, 1206.0]"
462,"[36519, 296, 4776, 586, 553, 3916, 42738, 6548, 1721, 858]","[778, 165, 2959, 50, 8529]","[1573.0, 5574.0, 4022.0, 53972.0, 420.0]"
469,"[33794, 5219, 296, 99114, 7438, 7153, 110102, 142488, 64957]",[2959],"[4995.0, 58559.0, 116797.0, 1089.0, 85414.0]"
477,"[318, 5219, 1573, 5989, 1961, 586, 3147, 42738, 6550, 6365, 6874, 2011, 8861, 1214]","[2959, 589]","[4995.0, 2028.0, 480.0, 231.0, 4022.0]"
489,"[105504, 58559, 33794, 4995, 97752, 169864, 1193, 527, 160980, 142488, 1721, 858, 79132, 4223]","[134130, 2023, 111759]","[134130.0, 97304.0, 4226.0, 64957.0, 1203.0]"
491,"[33794, 293, 85414, 1221, 99114, 778, 134130, 171763, 79132, 158966, 858, 139644, 68157, 58559]","[8638, 3147]","[50.0, 64957.0, 139385.0, 2959.0, 1213.0]"
494,"[480, 1089, 33794, 5219, 1221, 293, 85414, 231, 1193, 99114, 2028, 122892, 7153, 122904, 44665, 6874, 2011]","[3510, 68157, 64983, 48780, 3147, 608, 165]","[2571.0, 2959.0, 608.0, 296.0, 4993.0]"
515,"[5952, 33794, 5995, 7153, 50, 150]","[2028, 4226]","[6.0, 4993.0, 318.0, 1089.0, 1206.0]"
519,"[1089, 6979, 293, 231, 266, 2571, 1036, 589, 2959, 1213, 4223]","[912, 296]","[1721.0, 165.0, 778.0, 480.0, 4776.0]"
521,"[296, 48780, 589, 50, 30707, 6934, 3578, 2011, 1214]","[527, 5995, 1206, 1089, 6365]","[58559.0, 1200.0, 7438.0, 527.0, 2167.0]"
523,"[1573, 1645, 111, 1201, 50, 1203, 1206, 1370, 318]","[1704, 1227]","[553.0, 1036.0, 1721.0, 4022.0, 1704.0]"
527,"[103688, 99114, 122892, 110102, 97304, 1721, 64957, 58559]","[60040, 4993, 5952, 1036]","[134130.0, 105504.0, 111759.0, 85414.0, 122900.0]"
538,"[1704, 356, 7438]","[8638, 6874, 1252]","[296.0, 1089.0, 318.0, 1193.0, 480.0]"
541,"[6, 122890, 266, 912, 2329, 64030, 1954, 293, 112552, 1704, 162606, 138036, 105653, 4022, 1213, 1214, 64957, 3916, 160980, 8665, 1370, 858, 6365, 480, 356, 3178, 158966, 139385]","[31364, 1997, 608, 119145, 91630]","[50.0, 165.0, 2028.0, 3147.0, 146656.0]"
548,"[4223, 4993, 33794, 2571, 1036, 48780, 7438, 6934, 2329, 72731, 69275, 64030, 165, 110501, 36519, 293, 116397, 1584, 96691, 6863, 56145, 103249, 3578, 64983, 1370, 1377, 6754, 74851, 34150, 114795, 116977, 86644, 2167, 139642, 111743]","[553, 102088, 115210, 5574, 91978, 65682, 318]","[231.0, 8985.0, 53996.0, 6550.0, 69526.0]"
550,"[4995, 1573, 2571, 527, 30707, 150]","[293, 1370, 5989, 8529]","[1721.0, 4226.0, 318.0, 1214.0, 1036.0]"
561,"[608, 356, 6, 231, 1704, 778, 1206, 1213]","[2959, 1997, 1089]","[1227.0, 420.0, 3916.0, 296.0, 480.0]"
565,"[1221, 165, 2023, 2028, 1997, 589, 1721, 858, 1214]",[2011],"[6365.0, 6.0, 318.0, 4776.0, 1573.0]"
566,"[1704, 2571, 1573]",[1203],"[50.0, 296.0, 6874.0, 608.0, 356.0]"
567,"[356, 1573, 2329, 296, 266, 8665, 1997, 54771, 30707, 1721, 6874, 4223]",[2167],"[231.0, 318.0, 3916.0, 480.0, 1203.0]"
572,"[480, 293, 4262, 3178, 1227, 1997, 7438, 1201, 1214]","[2028, 2329]","[6.0, 165.0, 778.0, 3198.0, 4776.0]"
581,"[293, 2571, 527, 3578, 6874, 858]","[4995, 356, 1954]","[1036.0, 4226.0, 1193.0, 778.0, 1213.0]"
587,"[608, 4993, 4995, 6534, 4262, 5574, 5418, 3916, 5810, 3510, 318]","[589, 1036, 6754]","[6979.0, 3147.0, 6863.0, 1704.0, 8665.0]"
597,"[4995, 420, 586, 778, 6365]",[1377],"[231.0, 4022.0, 53464.0, 1584.0, 53996.0]"
598,"[4226, 4995, 5956, 34150, 50, 6550, 79132, 6365]",[5989],"[53996.0, 5219.0, 231.0, 33794.0, 5952.0]"
606,"[33794, 4995, 2571, 122892, 1036, 110102, 122904, 122912, 1704, 1961, 99114, 109487, 160438, 168248, 58559, 130634, 133195, 8529, 103249, 6365, 2023, 171763]","[4022, 87520, 114180, 57528, 128360, 3147]","[128360.0, 122882.0, 115149.0, 65514.0, 119145.0]"
608,"[266, 2571, 99114, 7438, 2959, 1619, 68157, 1214]","[79132, 85414, 1200]","[480.0, 296.0, 58559.0, 50.0, 64957.0]"
610,"[5952, 293, 65514, 858, 79132, 58559]",[608],"[4993.0, 2571.0, 3578.0, 608.0, 527.0]"
626,"[1954, 5219, 6754, 6979, 1252, 1961, 3147, 2571, 3916, 1201, 50, 2011, 318]","[3510, 2028, 589]","[6365.0, 4993.0, 1584.0, 2410.0, 150.0]"
628,"[114180, 111781, 85414, 5989, 119145, 48780, 122892, 91630, 111759, 104913, 8529, 84601, 122900, 2329]","[93363, 88140, 356]","[69526.0, 527.0, 109848.0, 110102.0, 79132.0]"
630,[296],"[6534, 8665]","[6874.0, 231.0, 5952.0, 608.0, 58559.0]"
642,"[5952, 1954, 1573, 6534, 296, 553, 2411, 589, 1721, 6874, 1214]",[6365],"[1704.0, 2011.0, 608.0, 1193.0, 480.0]"
647,"[122914, 60040, 88140, 188301, 171763, 122900, 1690, 6365, 6874, 116797]",[97188],"[2011.0, 122912.0, 189333.0, 122920.0, 2959.0]"
648,"[4993, 4226, 4262, 65514, 81932, 111, 134130, 50, 122900, 69526, 6550, 3578, 79132]","[68157, 778, 36519, 904, 122920, 64983]","[778.0, 3147.0, 68157.0, 5574.0, 6863.0]"
649,"[608, 480, 1252, 1036, 1645, 1206, 4223]","[6, 1193]","[1704.0, 553.0, 912.0, 1200.0, 1213.0]"
653,"[5952, 165, 2410, 3147, 1036, 8529, 134130, 7153, 79132]","[912, 2409, 2571, 4995]","[109487.0, 2028.0, 480.0, 6934.0, 2329.0]"
676,[356],"[266, 1221]","[296.0, 480.0, 231.0, 6874.0, 2011.0]"
694,"[1200, 1089, 2028, 904]","[1690, 1206]","[318.0, 608.0, 912.0, 1573.0, 2571.0]"
695,"[1377, 778, 2411, 1036]",[296],"[293.0, 231.0, 1200.0, 1997.0, 1227.0]"
702,"[293, 296, 119145, 266, 109487, 122904, 58559]","[122920, 1206, 111781, 2571]","[1089.0, 480.0, 6.0, 356.0, 3578.0]"
705,"[5952, 117895, 527, 1584, 7153, 134130, 93363, 858, 102686]","[1213, 6754, 150, 1377]","[4993.0, 2571.0, 4085.0, 103249.0, 4022.0]"
709,"[33794, 157699, 95875, 103688, 115210, 93838, 110102, 97304, 111781, 4262, 36519, 122920, 5418, 99114, 4022, 1213, 68157, 91974, 103249, 64983, 6365, 356, 91630, 42738, 139644]","[2028, 122892, 5952, 2011, 7153]","[30707.0, 128360.0, 59369.0, 85414.0, 69526.0]"
714,"[4995, 91630, 2959, 150, 68157, 318]",[3578],"[5418.0, 58559.0, 6863.0, 97304.0, 65514.0]"
734,"[1200, 293, 1704, 527]",[480],"[50.0, 778.0, 3147.0, 1089.0, 589.0]"
738,"[356, 1221, 296, 5418, 778, 3916, 1645, 2571, 2959, 1200, 50, 150, 4022, 2329, 1370, 1213]","[5952, 1036, 69526]","[231.0, 1704.0, 5952.0, 608.0, 4995.0]"
740,"[33794, 111364, 6, 117895, 527, 6934, 1961, 1200, 1203, 78772, 138036, 5952, 586, 3147, 130634, 589, 8665, 6874, 858, 231, 53996, 114935, 44665, 3578]","[111781, 87520, 97304, 1036, 6754]","[93363.0, 1206.0, 1997.0, 4022.0, 7153.0]"
756,"[4226, 4995, 296, 4776, 5418, 2571, 589, 1200, 7153, 6934, 1339]",[44665],"[5952.0, 4993.0, 231.0, 293.0, 58559.0]"
757,"[608, 4226, 33794, 293, 296, 1193, 778, 586, 266, 2028, 1339]","[1200, 5952, 6754, 150]","[1266.0, 6.0, 1584.0, 318.0, 1089.0]"
768,"[5952, 122882, 165, 85414, 293, 65514, 5995, 2028, 6863, 30707, 4085, 79132, 116797]","[4993, 7153, 5989]","[527.0, 1036.0, 296.0, 778.0, 4995.0]"
772,"[608, 356, 293, 1573, 912, 1200, 1266, 150]",[1584],"[1193.0, 3578.0, 1377.0, 589.0, 1339.0]"
775,"[4993, 1089, 356, 112552, 5418, 3147, 48780, 5995, 2571, 2959, 50, 2329, 6874, 2011, 79132, 1213]","[1206, 4262]","[1721.0, 293.0, 7438.0, 64957.0, 296.0]"
793,"[480, 1954, 1252, 420, 4262, 2023, 4776, 1200, 1584, 1206]",[5254],"[1573.0, 4084.0, 1339.0, 1997.0, 2410.0]"
795,"[5254, 231, 2571, 7153, 2167]","[2028, 6365, 34150]","[6365.0, 5952.0, 1704.0, 5956.0, 296.0]"
801,"[4995, 115210, 81932, 111759, 2329, 105504, 113573, 296, 1206, 318, 1089, 5956, 2011, 608, 2409, 2028, 111, 158966, 44665, 139642, 139644]","[1227, 48304]","[146656.0, 1704.0, 112552.0, 50.0, 56145.0]"
803,"[5952, 1252, 3147, 7438, 1201, 2167, 8665, 6874]","[1997, 1227]","[1704.0, 608.0, 1193.0, 1203.0, 6365.0]"
810,"[3362, 2409, 4022, 1339, 3198]",[1252],"[2410.0, 3178.0, 2023.0, 1690.0, 102088.0]"
815,"[5952, 33794, 4226, 5989, 1036, 7438, 6548, 57528, 1721, 6874, 318]","[50, 79132, 162606]","[6.0, 4262.0, 293.0, 778.0, 2959.0]"
828,"[6, 266, 1036, 1997, 1201, 150, 1721, 858, 1214, 3198]","[2571, 2410, 2409, 527]","[1200.0, 1573.0, 1193.0, 553.0, 904.0]"
832,"[858, 1213, 1221, 6863]","[8665, 134130, 5418, 231]","[5956.0, 111.0, 586.0, 1200.0, 1954.0]"
837,"[4226, 4995, 1036, 7153, 150, 6934, 318]",[296],"[4993.0, 2571.0, 296.0, 58559.0, 5418.0]"
844,"[1704, 778, 912, 1201, 1206, 1339]",[2571],"[1584.0, 1193.0, 50.0, 858.0, 1203.0]"
846,"[4995, 6, 778, 266, 2329, 1690, 1573, 4262, 296, 4776, 1584, 1201, 5956, 1227, 3147, 589, 858, 2011, 608, 5989, 2410, 1266, 4085, 3578]","[480, 5995, 6365, 1721, 4022, 2167]","[1961.0, 1193.0, 1203.0, 420.0, 586.0]"
847,"[33794, 4226, 2571, 150, 2329, 122914, 3362, 420, 165, 4262, 4776, 1193, 1961, 89904, 3510, 8638, 3916, 1997, 7387, 1377, 3178, 4085]","[134130, 608, 8665, 4022, 7153, 2959, 1573]","[2409.0, 2411.0, 6.0, 4995.0, 1203.0]"
848,"[904, 2571, 188301, 912, 189333, 150, 6934, 110102, 296, 1961, 162606, 1203, 160438, 57528, 68157, 5574, 5219, 5989, 65514, 5995, 53996, 7153, 86644, 44665]","[88140, 58559, 5952]","[5418.0, 58559.0, 33794.0, 5952.0, 2410.0]"
858,"[2023, 296, 1961, 5995, 3147, 1584, 50, 8985, 1721, 3578, 8638]",[165],"[1203.0, 2571.0, 1377.0, 1339.0, 4226.0]"
859,"[1704, 1193, 2410, 3147, 1645, 1997, 527, 912, 1201, 50, 1203, 30707, 1206, 8665, 3578, 2011, 8638]","[553, 6]","[553.0, 111.0, 1954.0, 1213.0, 6754.0]"
860,"[5219, 6874, 293, 2329, 231, 4776, 5418, 586, 50, 8985, 1370, 318]","[1203, 1089]","[53996.0, 53972.0, 4993.0, 6365.0, 5956.0]"
861,"[6, 904, 553, 2409, 1036, 912]","[1721, 858]","[608.0, 2571.0, 1213.0, 293.0, 3510.0]"
864,"[296, 231]",[150],"[4022.0, 480.0, 356.0, 6.0, 2571.0]"
865,"[8529, 4995]","[106841, 266, 96432]","[1961.0, 30707.0, 480.0, 7153.0, 527.0]"
871,"[4226, 4995, 48780, 7438, 2959, 111759, 129937, 110102, 116887, 2329, 1690, 1573, 4776, 5418, 1200, 5810, 50, 3510, 168248, 177593, 163645, 58559, 5952, 5956, 5574, 160980, 480, 6754, 2028, 114935]","[150, 318, 162082, 1214, 4022, 117895, 1036]","[1704.0, 1089.0, 3578.0, 139644.0, 318.0]"
872,"[480, 586, 53996, 589, 2959, 8529, 2329, 2011]","[165, 4776, 6365]","[231.0, 778.0, 69526.0, 6874.0, 165.0]"
875,"[2571, 3147, 2028, 1203, 3578]","[1721, 1619]","[50.0, 1193.0, 1036.0, 1721.0, 858.0]"
876,"[5989, 231, 2409, 553, 586, 1997, 2959, 7153, 6874, 2011]","[1377, 1266, 165, 30707, 2028]","[6.0, 296.0, 293.0, 93363.0, 8861.0]"
886,"[296, 81932, 589, 2959, 912, 7153, 2011, 79132, 1213]","[608, 318]","[608.0, 1704.0, 58559.0, 2571.0, 480.0]"
894,"[480, 3362, 2023, 296, 1961, 4022, 3198]","[150, 2959]","[1266.0, 2410.0, 6.0, 2571.0, 1690.0]"
896,"[1704, 4226, 356, 5989]",[7438],"[4995.0, 318.0, 480.0, 231.0, 5418.0]"
901,"[31364, 2571, 48780, 150, 97304, 162082, 1704, 48304, 1584, 68157, 88140, 79695, 73808, 8665, 480, 87520, 34150, 59369, 2410, 53996, 116977, 134130, 44665]","[858, 3362, 30707, 119145, 1089, 608, 130634, 1200]","[99114.0, 5952.0, 6874.0, 7153.0, 58559.0]"
902,"[5952, 33794, 778, 2028, 1200, 1619]","[1206, 1193, 356]","[608.0, 6.0, 231.0, 480.0, 589.0]"
904,"[480, 4993, 1221, 169864, 1036, 111759, 50, 189333, 64983, 122904, 68157, 64957]","[5989, 59369]","[2571.0, 79132.0, 2028.0, 111781.0, 858.0]"
905,"[608, 6, 2409, 1201, 1206]","[1997, 2028]","[5995.0, 1089.0, 3198.0, 2571.0, 2011.0]"
906,"[2571, 170827, 122892, 1036, 76175, 109487, 162606, 50, 93363, 122904, 79132]","[122882, 58559]","[111781.0, 115149.0, 91630.0, 122900.0, 122920.0]"
912,"[33794, 4226, 53996, 53464, 1339, 58559]","[1584, 480, 7438]","[69526.0, 5418.0, 2329.0, 7438.0, 5952.0]"
917,"[1961, 356, 150, 111]",[778],"[480.0, 231.0, 778.0, 6863.0, 4085.0]"
919,"[60040, 778, 266, 48780, 1036, 6934, 8985, 4776, 5418, 89904, 1200, 3510, 1206, 64957, 116797, 1227, 115149, 56145, 146656, 6754, 5219, 1252, 356, 53996]","[97752, 608, 589]","[1339.0, 44665.0, 69526.0, 112552.0, 34150.0]"
924,"[5219, 293, 5254, 6, 59369, 266, 2411, 2410, 586, 5995, 1584, 86644, 1370]","[79132, 5952, 231, 2329]","[3510.0, 1573.0, 231.0, 33794.0, 3578.0]"
935,"[122882, 5989, 1193, 48780, 115149, 2959, 1200, 3578]","[109487, 5254, 139385]","[104913.0, 4226.0, 2028.0, 5952.0, 122892.0]"
939,"[5952, 4993, 6754, 4995, 5989, 5418, 2959, 1584, 42738, 2167, 1370]","[8861, 6874]","[6365.0, 1721.0, 1704.0, 2571.0, 1089.0]"
942,"[3578, 4995]","[3916, 165]","[5418.0, 5952.0, 1961.0, 3147.0, 231.0]"
944,"[146656, 608, 4995, 5254, 48780, 2959, 7153, 134130, 3578]","[6863, 4993, 122920]","[3147.0, 1704.0, 34150.0, 5810.0, 2011.0]"
947,"[5952, 4993, 68157, 5956, 165, 6, 231, 5254, 1961, 4262, 586, 2028, 3147, 589, 30707, 4022, 79132, 6365]","[1584, 296, 5418]","[4995.0, 1704.0, 778.0, 5989.0, 318.0]"
948,"[4226, 1954, 6, 1997, 4085]","[904, 608, 2571, 150, 5418]","[2571.0, 33794.0, 912.0, 3178.0, 3510.0]"
960,"[5952, 1193, 266, 5418, 8665, 527, 1200, 1266, 50, 1213, 2329, 6365]","[111, 4262, 5810]","[318.0, 858.0, 1954.0, 4776.0, 8638.0]"
966,[],[586],[]
967,"[4993, 6979, 4262, 1584, 30707]",[6754],"[608.0, 1721.0, 318.0, 57528.0, 2571.0]"
968,"[608, 1954, 4226, 1704, 586, 3178, 6863, 30707, 6934, 2329]","[7153, 3578, 3147]","[50.0, 3147.0, 4022.0, 139644.0, 4995.0]"
983,"[6534, 2329, 69275, 4262, 1704, 89904, 50, 1206, 68157, 8638, 1214, 5952, 1089, 586, 1227, 2011, 91630, 42738, 30707, 44665]","[79695, 3578, 97304, 7153]","[608.0, 111.0, 778.0, 1200.0, 4993.0]"
986,[608],[778],"[1704.0, 122900.0, 1252.0, 157699.0, 296.0]"
997,"[6, 2571, 81932, 8861, 1954, 165, 1573, 36519, 122920, 1193, 5418, 96432, 5810, 1203, 163645, 318, 5956, 88140, 8529, 6754, 5219, 128360, 5995, 174585, 3578, 139644]","[111, 2167, 92507, 6365, 56145, 1645, 162082]","[1201.0, 1961.0, 6365.0, 30707.0, 904.0]"
999,"[480, 1704, 296, 778, 2571, 1036, 1645, 1339]","[1619, 50, 318]","[293.0, 608.0, 1089.0, 6874.0, 2011.0]"
1011,"[4993, 114180, 293, 117895, 105355, 122892, 48780, 168366, 109487, 7153, 138036, 110102, 122904, 79132, 64957]",[114795],"[296.0, 527.0, 7438.0, 1721.0, 5952.0]"
1019,"[1089, 175303, 122920, 2011, 1213]","[68157, 50, 115149, 122900]","[1704.0, 134130.0, 778.0, 165.0, 111.0]"
1030,"[4995, 5989, 3147, 1997, 1339]",[904],"[6365.0, 1584.0, 318.0, 2410.0, 4993.0]"
1036,"[1954, 296, 586, 527, 1200, 912, 1201, 1370, 2011]",[1584],"[111.0, 1193.0, 1721.0, 1377.0, 1573.0]"
1038,"[6754, 5956, 2409, 589, 2959, 1200, 50, 1206, 2167, 4223]","[1961, 2329, 2411]","[1089.0, 2011.0, 165.0, 4993.0, 4776.0]"
